DATE,DEXJPUS,DEXCAUS,DEXCHUS,SP500
2014-01-01,,,,
2014-01-02,104.84,1.0634,6.0504,1831.98
2014-01-03,104.46,1.0612,6.0505,1831.37
2014-01-06,104.38,1.0658,6.0524,1826.77
2014-01-07,104.54,1.0742,6.0507,1837.88
2014-01-08,104.87,1.0802,6.051,1837.49
2014-01-09,104.74,1.085,6.054,1838.13
2014-01-10,104.06,1.0915,6.0519,1842.37
2014-01-13,103.31,1.0868,6.0432,1819.2
2014-01-14,103.8,1.0934,6.0402,1838.88
2014-01-15,104.42,1.0932,6.0459,1848.38
2014-01-16,104.32,1.0926,6.0555,1845.89
2014-01-17,104.32,1.0959,6.05,1838.7
2014-01-20,,,,
2014-01-21,104.14,1.0971,6.0503,1843.8
2014-01-22,104.36,1.1069,6.0508,1844.86
2014-01-23,103.65,1.1128,6.0515,1828.46
2014-01-24,102.41,1.1063,6.0486,1790.29
2014-01-27,102.26,1.1097,6.0478,1781.56
2014-01-28,102.8,1.1148,6.0506,1792.5
2014-01-29,102.2,1.1147,6.0554,1774.2
2014-01-30,102.83,1.1171,6.06,1794.19
2014-01-31,102.28,1.1116,6.059,1782.59
2014-02-03,101.11,1.1074,6.06,1741.89
2014-02-04,101.62,1.1056,6.06,1755.2
2014-02-05,101.38,1.11,6.06,1751.64
2014-02-06,101.84,1.1065,6.06,1773.43
2014-02-07,102.32,1.1014,6.0629,1797.02
2014-02-10,102.14,1.1048,6.0591,1799.84
2014-02-11,102.63,1.1024,6.0601,1819.75
2014-02-12,102.48,1.0992,6.0614,1819.26
2014-02-13,102.2,1.0979,6.0631,1829.83
2014-02-14,101.82,1.0981,6.0666,1838.63
2014-02-17,,,,
2014-02-18,102.31,1.0952,6.0671,1840.76
2014-02-19,102.3,1.1045,6.0762,1828.75
2014-02-20,102.32,1.1104,6.0832,1839.78
2014-02-21,102.71,1.1128,6.0912,1836.25
2014-02-24,102.44,1.1058,6.0982,1847.61
2014-02-25,102.2,1.1085,6.1243,1845.12
2014-02-26,102.36,1.1117,6.1243,1845.16
2014-02-27,102.12,1.1137,6.1279,1854.29
2014-02-28,102.08,1.1075,6.1448,1859.45
2014-03-03,101.36,1.109,6.146,1845.73
2014-03-04,102.18,1.1113,6.143,1873.91
2014-03-05,102.32,1.105,6.128,1873.81
2014-03-06,103.03,1.0965,6.1183,1877.03
2014-03-07,103.38,1.1088,6.1258,1878.04
2014-03-10,103.23,1.1104,6.1383,1877.17
2014-03-11,103.18,1.1085,6.1397,1867.63
2014-03-12,102.74,1.113,6.1448,1868.2
2014-03-13,102.12,1.1059,6.1359,1846.34
2014-03-14,101.46,1.1087,6.15,1841.13
2014-03-17,101.62,1.1052,6.1779,1858.83
2014-03-18,101.37,1.1089,6.1918,1872.25
2014-03-19,101.54,1.1177,6.1934,1860.77
2014-03-20,102.39,1.1251,6.2273,1872.01
2014-03-21,102.38,1.1191,6.2248,1866.52
2014-03-24,102.21,1.1218,6.1956,1857.44
2014-03-25,102.32,1.1176,6.201,1865.62
2014-03-26,102.3,1.1143,6.2084,1852.56
2014-03-27,102.1,1.1056,6.2123,1849.04
2014-03-28,102.92,1.1066,6.2117,1857.62
2014-03-31,102.98,1.1053,6.2164,1872.34
2014-04-01,103.52,1.1026,6.2064,1885.52
2014-04-02,103.82,1.103,6.2054,1890.9
2014-04-03,103.94,1.1035,6.2102,1888.77
2014-04-04,103.39,1.0978,6.2118,1865.09
2014-04-07,103.04,1.0971,6.2118,1845.04
2014-04-08,102.12,1.0919,6.1966,1851.96
2014-04-09,101.85,1.0902,6.2003,1872.18
2014-04-10,101.43,1.0912,6.2123,1833.08
2014-04-11,101.56,1.096,6.2111,1815.69
2014-04-14,101.81,1.0968,6.2186,1830.61
2014-04-15,101.6,1.098,6.2215,1842.98
2014-04-16,102.3,1.1027,6.2204,1862.31
2014-04-17,102.22,1.0997,6.2188,1864.85
2014-04-18,102.43,1.1024,6.224,
2014-04-21,102.56,1.102,6.2269,1871.89
2014-04-22,102.6,1.1025,6.2373,1879.55
2014-04-23,102.26,1.1034,6.2374,1875.39
2014-04-24,102.34,1.1026,6.2484,1878.61
2014-04-25,102.12,1.1041,6.2534,1863.4
2014-04-28,102.46,1.1032,6.252,1869.43
2014-04-29,102.57,1.0963,6.2578,1878.33
2014-04-30,102.14,1.0956,6.2591,1883.95
2014-05-01,102.3,1.0965,6.2591,1883.68
2014-05-02,102.34,1.0973,6.2591,1881.14
2014-05-05,102.06,1.0955,6.2453,1884.66
2014-05-06,101.57,1.089,6.2255,1867.72
2014-05-07,101.72,1.0895,6.2349,1878.21
2014-05-08,101.66,1.0856,6.2272,1875.63
2014-05-09,101.74,1.0899,6.227,1878.48
2014-05-12,102.1,1.0886,6.2364,1896.65
2014-05-13,102.2,1.0892,6.2283,1897.45
2014-05-14,101.75,1.0887,6.2282,1888.53
2014-05-15,101.44,1.0887,6.2291,1870.85
2014-05-16,101.5,1.0883,6.2327,1877.86
2014-05-19,101.26,1.0861,6.2368,1885.08
2014-05-20,101.26,1.09,6.2377,1872.83
2014-05-21,101.44,1.0935,6.2335,1888.03
2014-05-22,101.76,1.0897,6.2348,1892.49
2014-05-23,101.88,1.087,6.2363,1900.53
2014-05-26,,,,
2014-05-27,102.14,1.0869,6.2471,1911.91
2014-05-28,101.78,1.0867,6.2535,1909.78
2014-05-29,101.58,1.0837,6.2375,1920.03
2014-05-30,101.77,1.0867,6.2471,1923.57
2014-06-02,102.3,1.0894,6.2471,1924.97
2014-06-03,102.42,1.0915,6.2536,1924.24
2014-06-04,102.69,1.0937,6.2494,1927.88
2014-06-05,102.44,1.0935,6.2548,1940.46
2014-06-06,102.5,1.0936,6.2498,1949.44
2014-06-09,102.52,1.0908,6.2397,1951.27
2014-06-10,102.37,1.0914,6.224,1950.79
2014-06-11,101.94,1.0867,6.2277,1943.89
2014-06-12,101.83,1.0851,6.2175,1930.11
2014-06-13,102.06,1.0868,6.209,1936.16
2014-06-16,101.82,1.0849,6.225,1937.78
2014-06-17,102.18,1.0851,6.2263,1941.99
2014-06-18,102.16,1.087,6.2309,1956.98
2014-06-19,101.84,1.0828,6.2287,1959.48
2014-06-20,102.14,1.0766,6.224,1962.87
2014-06-23,101.9,1.0731,6.225,1962.61
2014-06-24,102.13,1.0739,6.2308,1949.98
2014-06-25,101.75,1.0721,6.2343,1959.53
2014-06-26,101.66,1.0706,6.2235,1957.22
2014-06-27,101.39,1.0676,6.218,1960.96
2014-06-30,101.28,1.0676,6.2036,1960.23
2014-07-01,101.51,1.0652,6.1995,1973.32
2014-07-02,101.76,1.0667,6.2101,1974.62
2014-07-03,102.19,1.0633,6.2115,1985.44
2014-07-04,,,,
2014-07-07,101.84,1.0662,6.2036,1977.65
2014-07-08,101.53,1.0674,6.201,1963.71
2014-07-09,101.7,1.0648,6.1994,1972.83
2014-07-10,101.26,1.0658,6.2023,1964.68
2014-07-11,101.33,1.072,6.2034,1967.57
2014-07-14,101.58,1.0721,6.2059,1977.1
2014-07-15,101.62,1.0766,6.2075,1973.28
2014-07-16,101.69,1.0749,6.2035,1981.57
2014-07-17,101.3,1.0753,6.2033,1958.12
2014-07-18,101.37,1.0737,6.2075,1978.22
2014-07-21,101.34,1.0736,6.2088,1973.63
2014-07-22,101.54,1.0744,6.2025,1983.53
2014-07-23,101.5,1.0739,6.1982,1987.01
2014-07-24,101.82,1.0741,6.1944,1987.98
2014-07-25,101.81,1.0814,6.1913,1978.34
2014-07-28,101.82,1.08,6.187,1978.91
2014-07-29,102.12,1.0851,6.18,1969.95
2014-07-30,102.9,1.0908,6.1712,1970.07
2014-07-31,102.75,1.0889,6.1737,1930.67
