DATE,DGS6MO,DGS1
2022-01-03,0.22,0.4
2022-01-04,0.22,0.38
2022-01-05,0.22,0.41
2022-01-06,0.23,0.45
2022-01-07,0.24,0.43
2022-01-10,0.28,0.46
2022-01-11,0.28,0.46
2022-01-12,0.27,0.48
2022-01-13,0.28,0.47
2022-01-14,0.3,0.51
2022-01-17,,
2022-01-18,0.37,0.58
2022-01-19,0.36,0.57
2022-01-20,0.36,0.6
2022-01-21,0.35,0.58
2022-01-24,0.39,0.58
2022-01-25,0.39,0.65
2022-01-26,0.4,0.7
2022-01-27,0.43,0.75
2022-01-28,0.43,0.75
2022-01-31,0.49,0.78
2022-02-01,0.48,0.78
2022-02-02,0.45,0.76
2022-02-03,0.48,0.78
2022-02-04,0.56,0.89
2022-02-07,0.58,0.88
2022-02-08,0.59,0.91
2022-02-09,0.57,0.91
2022-02-10,0.74,1.14
2022-02-11,0.71,1.07
2022-02-14,0.76,1.13
2022-02-15,0.72,1.11
2022-02-16,0.67,1.09
2022-02-17,0.65,1.05
2022-02-18,0.65,1.03
2022-02-21,,
2022-02-22,0.73,1.17
2022-02-23,0.74,1.16
2022-02-24,0.65,1.08
2022-02-25,0.71,1.13
2022-02-28,0.69,1.01
2022-03-01,0.6,0.91
2022-03-02,0.68,1.06
2022-03-03,0.69,1.08
2022-03-04,0.69,1.05
2022-03-07,0.75,1.07
2022-03-08,0.72,1.12
2022-03-09,0.75,1.15
2022-03-10,0.75,1.19
2022-03-11,0.78,1.22
2022-03-14,0.86,1.28
2022-03-15,0.86,1.28
2022-03-16,0.86,1.35
2022-03-17,0.81,1.3
2022-03-18,0.83,1.29
2022-03-21,0.95,1.4
2022-03-22,0.96,1.59
2022-03-23,0.93,1.52
2022-03-24,0.96,1.55
2022-03-25,1.01,1.67
2022-03-28,1.08,1.69
2022-03-29,1.06,1.67
2022-03-30,1.04,1.64
2022-03-31,1.06,1.63
2022-04-01,1.09,1.72
2022-04-04,1.14,1.72
2022-04-05,1.13,1.77
2022-04-06,1.15,1.79
2022-04-07,1.15,1.78
2022-04-08,1.19,1.81
2022-04-11,1.23,1.85
2022-04-12,1.2,1.77
2022-04-13,1.2,1.78
2022-04-14,1.25,1.84
2022-04-15,,
2022-04-18,1.27,1.84
2022-04-19,1.28,1.94
2022-04-20,1.29,1.93
2022-04-21,1.32,2.01
2022-04-22,1.34,2.06
2022-04-25,1.42,2.03
2022-04-26,1.4,1.99
2022-04-27,1.39,1.97
2022-04-28,1.38,2.04
2022-04-29,1.41,2.1
2022-05-02,1.49,2.1
2022-05-03,1.45,2.16
2022-05-04,1.44,2.07
2022-05-05,1.37,2.08
2022-05-06,1.41,2.08
2022-05-09,1.43,1.99
2022-05-10,1.44,2.01
2022-05-11,1.43,1.99
2022-05-12,1.44,1.96
2022-05-13,1.47,2.04
2022-05-16,1.54,2.07
2022-05-17,1.57,2.16
2022-05-18,1.56,2.16
2022-05-19,1.52,2.11
2022-05-20,1.51,2.07
2022-05-23,1.57,2.09
2022-05-24,1.53,2.02
2022-05-25,1.52,2.01
2022-05-26,1.52,1.99
2022-05-27,1.54,2.01
2022-05-30,,
2022-05-31,1.64,2.08
2022-06-01,1.63,2.16
2022-06-02,1.64,2.15
2022-06-03,1.68,2.18
2022-06-06,1.74,2.23
2022-06-07,1.75,2.26
2022-06-08,1.77,2.29
2022-06-09,1.81,2.35
2022-06-10,1.98,2.58
2022-06-13,2.25,2.89
2022-06-14,2.43,3.15
2022-06-15,2.32,2.93
2022-06-16,2.24,2.88
2022-06-17,2.25,2.86
2022-06-20,,
2022-06-21,2.46,2.92
2022-06-22,2.4,2.79
2022-06-23,2.44,2.78
2022-06-24,2.51,2.83
2022-06-27,2.56,2.89
2022-06-28,2.55,2.88
2022-06-29,2.55,2.88
2022-06-30,2.51,2.8
2022-07-01,2.52,2.79
2022-07-04,,
2022-07-05,2.59,2.77
2022-07-06,2.62,2.82
2022-07-07,2.64,2.87
2022-07-08,2.68,2.96
2022-07-11,2.79,2.97
2022-07-12,2.78,3.07
2022-07-13,2.96,3.21
2022-07-14,2.93,3.16
2022-07-15,2.94,3.12
2022-07-18,3.02,3.13
2022-07-19,3.06,3.18
2022-07-20,3.04,3.18
2022-07-21,3.0,3.11
2022-07-22,2.97,3.01
2022-07-25,3.06,3.07
2022-07-26,3.01,3.06
2022-07-27,2.93,3.0
2022-07-28,2.9,2.93
2022-07-29,2.91,2.98
2022-08-01,2.96,2.98
2022-08-02,3.0,3.09
2022-08-03,3.0,3.14
2022-08-04,2.98,3.11
2022-08-05,3.1,3.29
2022-08-08,3.15,3.3
2022-08-09,3.16,3.33
2022-08-10,3.13,3.26
2022-08-11,3.08,3.25
2022-08-12,3.13,3.26
2022-08-15,3.13,3.23
2022-08-16,3.12,3.26
2022-08-17,3.15,3.27
2022-08-18,3.12,3.24
2022-08-19,3.16,3.26
2022-08-22,3.23,3.32
2022-08-23,3.21,3.29
2022-08-24,3.28,3.35
2022-08-25,3.25,3.33
2022-08-26,3.26,3.36
2022-08-29,3.32,3.43
2022-08-30,3.31,3.48
2022-08-31,3.32,3.5
2022-09-01,3.34,3.51
2022-09-02,3.33,3.47
2022-09-05,,
2022-09-06,3.4,3.61
2022-09-07,3.42,3.6
2022-09-08,3.44,3.6
2022-09-09,3.52,3.67
2022-09-12,3.56,3.7
2022-09-13,3.75,3.92
2022-09-14,3.76,3.95
2022-09-15,3.78,4.0
2022-09-16,3.77,3.96
2022-09-19,3.87,4.05
2022-09-20,3.86,4.03
2022-09-21,3.86,4.08
2022-09-22,3.87,4.08
2022-09-23,3.85,4.15
2022-09-26,3.95,4.17
2022-09-27,3.91,4.16
2022-09-28,3.87,3.99
2022-09-29,3.87,3.98
2022-09-30,3.92,4.05
2022-10-03,3.97,4.01
2022-10-04,3.98,4.15
2022-10-05,4.0,4.14
2022-10-06,4.04,4.19
2022-10-07,4.09,4.24
2022-10-10,,
2022-10-11,4.17,4.28
2022-10-12,4.16,4.28
2022-10-13,4.3,4.46
2022-10-14,4.31,4.5
2022-10-17,4.38,4.5
2022-10-18,4.39,4.5
2022-10-19,4.45,4.6
2022-10-20,4.48,4.66
2022-10-21,4.43,4.58
2022-10-24,4.52,4.61
2022-10-25,4.5,4.6
2022-10-26,4.47,4.54
2022-10-27,4.44,4.5
2022-10-28,4.51,4.55
2022-10-31,4.57,4.66
2022-11-01,4.58,4.75
2022-11-02,4.57,4.76
2022-11-03,4.57,4.78
2022-11-04,4.55,4.76
2022-11-07,4.62,4.8
2022-11-08,4.6,4.77
2022-11-09,4.59,4.75
2022-11-10,4.52,4.59
2022-11-11,,
2022-11-14,4.55,4.63
2022-11-15,4.54,4.6
2022-11-16,4.54,4.62
2022-11-17,4.57,4.68
2022-11-18,4.61,4.74
2022-11-21,4.65,4.75
2022-11-22,4.68,4.79
2022-11-23,4.67,4.75
2022-11-24,,
2022-11-25,4.67,4.76
2022-11-28,4.72,4.76
2022-11-29,4.72,4.78
2022-11-30,4.7,4.74
2022-12-01,4.65,4.66
2022-12-02,4.65,4.69
2022-12-05,4.73,4.77
2022-12-06,4.74,4.73
2022-12-07,4.72,4.67
2022-12-08,4.71,4.71
2022-12-09,4.72,4.72
2022-12-12,4.78,4.75
2022-12-13,4.7,4.64
2022-12-14,4.68,4.64
2022-12-15,4.7,4.65
